Exp,Date,Angle,Start_Traffic,Mid_Traffic,End_Traffic,Traffic_Mean,Prey,Mu,Bidirection,Prey_Prop,A,Area_Scaling_Factor,SlipFalls_Start,SlipFalls_End,Stable_struct,Used_for_MEM,Used_for_Slips_Falls,Used_for_Growth_Curves,Start_Ants_L,Start_Ants_R,Start_Ants_Total,Mid_Ants_L,Mid_Ants_R,Mid_Ants_Total,End_Ants_L,End_Ants_R,End_Ants_Total,Total_L_Count,Total_R_Count,Prop_L,Prop_R,Model_Fit_IDX,,Ants_Crossing_0_120s,Ants_Joining_0_120s,Total_Slip_Join,P_Slip,P_S_S,P_Slip_Mean_Traffic,,,Rnd_Seed_Multistart,PcSS_Est,S_0_Est,PcSS_Lower,PcSS_Upper,S_0_Lower,S_0_Upper,,,,,,,
60_1-31_1,31-Jan-2015,60,6.70,8.63,7.03,7.46,0.080,7.38,0.9881,0.0107,10,375.680,15,10,Y,Y,Y,Y,3,198,201,1,258,259,4,207,211,8,663,0.012,0.988,12,,804,7,22,0.027,0.318,0.025,,,,0.2384    0.0180,,,,,, 0.2371    0.0143,,,,0.2538    0.0163,,bad fit?
60_1-23_2,23-Jan-2015,60,4.50,3.57,4.20,4.09,0.090,4.00,0.9484,0.0220,29,286.812,8,4,Y,Y,Y,Y,9,126,135,6,101,107,4,122,126,19,349,0.052,0.948,11,,540,21,29,0.054,0.724,0.059,,,,0.3894    0.0395,,,,,,0.3832    0.0332,,0.4169    0.0366,,,,
60_1-23_1,23-Jan-2015,60,3.40,6.97,7.50,5.96,0.138,5.82,0.9813,0.0232,24,234.087,13,11,Y,Y,Y,Y,5,97,102,3,206,209,2,223,225,10,526,0.019,0.981,10,,408,18,31,0.076,0.581,0.043,,,,0.2468    0.0394,,,,,,0.2414    0.0301,,0.3005    0.0367,,,,
50_2-6_1,6-Feb-2015,50,7.43,6.77,7.33,7.18,0.300,6.88,0.9644,0.0418,30,350.399,3,5,Y,Y,Y,Y,214,9,223,195,8,203,214,6,220,623,23,0.964,0.036,9,,892,23,26,0.029,0.885,0.030,,,,0.3446    0.0376,,,,,,0.3363    0.0273,,0.4481    0.0361,,,,
50_2-5_2,5-Feb-2015,50,5.53,4.63,5.80,5.32,0.138,5.18,0.9896,0.0259,9,360.081,8,5,Y,Y,Y,Y,162,4,166,139,0,139,173,1,174,474,5,0.990,0.010,8,,664,3,11,0.017,0.273,0.017,,,,0.1311    0.0339,,,,,,0.1283    0.0331,,0.1330    0.0352,,,,
50_2-5_1,5-Feb-2015,50,2.13,2.43,3.13,2.57,0.343,2.22,0.8658,0.1336,18,209.725,3,1,Y,Y,Y,Y,49,15,64,66,7,73,85,9,94,200,31,0.866,0.134,7,,256,15,18,0.070,0.833,0.058,,,,0.3591    0.1262,,,,,, 0.3546    0.1210,, 0.3629    0.1296,,,,
50_2-2_2,2-Feb-2015,50,1.70,1.37,0.53,1.20,0.033,1.17,0.7500,0.0275,3,914.106,3,0,N,Y,Y,Y,42,9,51,31,10,41,8,8,16,81,27,0.750,0.250,NA,,204,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
50_2-2_1,2-Feb-2015,50,4.23,5.30,5.30,4.94,0.158,4.79,0.8921,0.0320,13,349.854,5,6,Y,Y,Y,Y,108,19,127,146,13,159,143,16,159,397,48,0.892,0.108,6,,508,9,14,0.028,0.643,0.024,,,,0.1721    0.0404,,,,,,0.1661    0.0355,,0.1836    0.0403,,,,
50_2-1_2,1-Feb-2015,50,6.93,4.67,5.80,5.80,0.270,5.53,0.9349,0.0466,9,418.400,1,2,Y,Y,Y,Y,191,17,208,135,5,140,162,12,174,488,34,0.935,0.065,5,,832,13,14,0.017,0.929,0.020,,,,0.1375    0.0495,,,,,,0.1281    0.0327,, 0.1739    0.0453,,,,
50_2-1_1,1-Feb-2015,50,4.73,6.83,11.87,7.81,0.022,7.79,0.9787,0.0028,0,244.418,4,5,N,Y,Y,Y,132,10,142,202,3,205,354,2,356,688,15,0.979,0.021,NA,,568,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
50_1-31_3,31-Jan-2015,50,2.90,4.17,4.83,3.97,0.308,3.66,0.9356,0.0776,12,465.126,4,4,Y,Y,Y,Y,75,12,87,119,6,125,140,5,145,334,23,0.936,0.064,4,,348,4,8,0.023,0.500,0.017,,,,0.4523    0.0204,,,,,, 0.4248    0.0175,,0.4523    0.0204,,,,
50_1-31_2,31-Jan-2015,50,6.07,5.20,6.83,6.03,0.175,5.86,0.9816,0.0290,4,599.649,5,1,N,Y,Y,Y,8,174,182,2,154,156,0,205,205,10,533,0.018,0.982,3,,728,10,15,0.021,0.667,0.021,,,,0.1054,0.0232,0.1028,0.1158,0.012,0.0177,,,,,,,
50_1-31_1,31-Jan-2015,50,3.17,1.73,2.40,2.43,0.182,2.25,0.9224,0.0748,2,NA,1,2,N,Y,Y,N,3,92,95,9,43,52,5,67,72,17,202,0.078,0.922,NA,,380,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
50_1-23_1,23-Jan-2015,50,0.83,1.07,2.00,1.30,0.057,1.24,0.7863,0.0438,2,210.046,4,3,N,Y,Y,Y,2,23,25,8,24,32,15,45,60,25,92,0.214,0.786,,,100,3,7,0.070,0.429,0.045,,,,,,,,,,,,,,,,
40_2-6_5,6-Feb-2015,40,9.20,7.50,7.73,8.14,0.118,8.03,0.9686,0.0145,7,402.101,5,4,Y,Y,Y,Y,272,4,276,220,5,225,218,14,232,710,23,0.969,0.031,NA,,1104,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
40_2-6_4,6-Feb-2015,40,9.23,7.13,8.40,8.26,0.070,8.19,0.9933,0.0085,3,1035.744,5,6,N,Y,Y,Y,275,2,277,211,3,214,252,0,252,738,5,0.993,0.007,NA,,1108,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
40_2-6_3,6-Feb-2015,40,5.33,5.10,6.63,5.69,0.178,5.51,0.9824,0.0313,3,388.996,6,7,N,Y,Y,Y,157,3,160,149,4,153,197,2,199,503,9,0.982,0.018,NA,,640,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
40_2-6_2,6-Feb-2015,40,3.50,4.53,3.93,3.99,0.223,3.77,0.9220,0.0559,2,835.575,2,3,N,Y,Y,Y,91,14,105,128,8,136,112,6,118,331,28,0.922,0.078,NA,,420,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
40_2-6_1,6-Feb-2015,40,3.43,3.23,4.10,3.59,0.275,3.31,0.5139,0.0766,15,NA,5,5,Y,Y,Y,N,57,46,103,53,44,97,56,67,123,166,157,0.514,0.486,NA,,412,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
40_2-5_5,5-Feb-2015,40,3.80,4.17,2.80,3.59,0.123,3.47,0.9628,0.0343,8,307.253,2,1,Y,Y,Y,Y,110,4,114,118,7,125,83,1,84,311,12,0.963,0.037,,,456,9,11,0.024,0.818,0.026,,,,,,,,,,,,,,,,
40_2-5_4,5-Feb-2015,40,2.40,2.40,1.70,2.17,0.073,2.09,0.9590,0.0337,2,533.674,5,2,N,Y,Y,Y,71,1,72,68,4,72,48,3,51,187,8,0.959,0.041,NA,,288,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,
